,day,trips,users,trips_per_bike_per_day,available_bikes,availability,registrations,Bad,Good,Top,Field_Maintenance,Functional,InSearch,Lost,Need_Warehouse,To_Deploy,Warehouse_Maintenance
0,2023-02-01,660.0,359.0,1.6,412.0,0.7396768402154399,33.0,40,53,142,19.0,407.0,26.0,71.0,11.0,0.0,95.0
1,2023-02-02,726.0,386.0,1.68,432.0,0.7755834829443446,23.0,33,38,166,19.0,430.0,26.0,71.0,11.0,0.0,72.0
2,2023-02-03,780.0,430.0,1.79,435.0,0.7809694793536804,18.0,44,57,184,19.0,436.0,26.0,71.0,12.0,0.0,65.0
3,2023-02-04,574.0,341.0,1.33,433.0,0.7759856630824373,26.0,49,32,117,22.0,435.0,26.0,70.0,12.0,0.0,63.0
4,2023-02-05,402.0,273.0,0.94,426.0,0.7634408602150538,27.0,26,35,83,23.0,425.0,26.0,70.0,5.0,0.0,79.0
5,2023-02-06,563.0,322.0,1.36,414.0,0.696969696969697,22.0,39,34,116,23.0,409.0,26.0,70.0,5.0,0.0,131.0
6,2023-02-07,648.0,356.0,1.58,410.0,0.6902356902356902,30.0,54,50,122,34.0,399.0,26.0,70.0,6.0,0.0,129.0
7,2023-02-08,568.0,339.0,1.38,412.0,0.692436974789916,25.0,40,46,105,39.0,399.0,26.0,70.0,6.0,0.0,125.0
8,2023-02-09,631.0,359.0,1.36,463.0,0.7781512605042017,23.0,36,42,134,46.0,449.0,26.0,70.0,6.0,0.0,68.0
9,2023-02-10,706.0,388.0,1.52,463.0,0.7755443886097152,21.0,48,45,138,44.0,451.0,25.0,70.0,7.0,0.0,70.0
10,2023-02-11,674.0,374.0,1.47,457.0,0.7654941373534339,35.0,47,41,136,42.0,447.0,26.0,70.0,8.0,0.0,74.0
11,2023-02-12,396.0,239.0,0.88,448.0,0.7504187604690117,19.0,15,35,87,39.0,438.0,26.0,70.0,11.0,0.0,83.0
12,2023-02-13,556.0,292.0,1.23,451.0,0.754180602006689,12.0,29,28,108,39.0,445.0,24.0,70.0,10.0,0.0,80.0
13,2023-02-14,648.0,369.0,1.44,450.0,0.7525083612040134,24.0,33,38,144,35.0,446.0,24.0,70.0,9.0,0.0,84.0
14,2023-02-15,656.0,382.0,1.45,452.0,0.7558528428093646,18.0,40,42,150,42.0,443.0,24.0,70.0,12.0,0.0,77.0
15,2023-02-16,626.0,339.0,1.38,455.0,0.7608695652173914,23.0,54,49,148,52.0,444.0,24.0,70.0,13.0,0.0,65.0
16,2023-02-17,709.0,407.0,1.55,457.0,0.7642140468227425,22.0,49,38,163,64.0,439.0,23.0,70.0,13.0,0.0,59.0
17,2023-02-18,517.0,291.0,1.14,454.0,0.7591973244147158,24.0,39,29,115,67.0,435.0,23.0,70.0,11.0,0.0,62.0
18,2023-02-19,395.0,235.0,0.88,450.0,0.7525083612040134,26.0,31,35,74,66.0,428.0,23.0,70.0,11.0,0.0,70.0
19,2023-02-20,440.0,248.0,0.98,450.0,0.7525083612040134,13.0,16,28,105,54.0,432.0,23.0,70.0,12.0,0.0,77.0
20,2023-02-21,563.0,304.0,1.25,452.0,0.7661016949152543,19.0,35,36,102,47.0,436.0,23.0,15.0,13.0,0.0,71.0
21,2023-02-22,516.0,309.0,1.12,460.0,0.7796610169491526,19.0,32,45,125,40.0,445.0,23.0,15.0,11.0,0.0,71.0
22,2023-02-23,542.0,303.0,1.15,472.0,0.8,20.0,35,41,120,43.0,455.0,22.0,15.0,11.0,0.0,59.0
23,2023-02-24,543.0,299.0,1.14,475.0,0.8050847457627118,18.0,33,35,123,38.0,462.0,22.0,15.0,11.0,0.0,57.0
24,2023-02-25,424.0,229.0,0.9,472.0,0.8,20.0,24,26,74,38.0,458.0,22.0,15.0,10.0,0.0,62.0
25,2023-02-26,392.0,226.0,0.83,471.0,0.7983050847457627,15.0,30,29,79,34.0,458.0,22.0,15.0,9.0,0.0,67.0
26,2023-02-27,377.0,216.0,0.8,471.0,0.7983050847457627,12.0,20,24,89,35.0,459.0,22.0,15.0,9.0,0.0,65.0
27,2023-02-28,462.0,257.0,0.99,466.0,0.7898305084745763,18.0,27,32,80,36.0,456.0,22.0,15.0,9.0,0.0,67.0
