,day,trips,users,trips_per_bike_per_day,available_bikes,availability,registrations,Bad,Good,Top,Field_Maintenance,Functional,InSearch,Lost,Need_Warehouse,To_Deploy,Warehouse_Maintenance
0,2023-12-01,259.0,151.0,1.11,233.0,0.6067708333333334,4.0,17,15,56,15.0,224.0,83.0,115.0,1.0,0.0,62.0
1,2023-12-02,180.0,124.0,0.77,233.0,0.6067708333333334,1.0,20,6,31,19.0,220.0,83.0,115.0,1.0,0.0,62.0
2,2023-12-03,113.0,89.0,0.5,226.0,0.5885416666666666,2.0,12,6,13,30.0,209.0,83.0,115.0,1.0,0.0,62.0
3,2023-12-04,132.0,85.0,0.57,230.0,0.5989583333333334,2.0,9,6,24,14.0,221.0,83.0,115.0,1.0,0.0,66.0
4,2023-12-05,202.0,121.0,0.87,233.0,0.6067708333333334,1.0,9,9,36,18.0,220.0,83.0,115.0,1.0,0.0,63.0
5,2023-12-06,185.0,115.0,0.8,232.0,0.6041666666666666,1.0,11,12,31,21.0,217.0,83.0,115.0,2.0,0.0,62.0
6,2023-12-07,190.0,116.0,0.81,234.0,0.609375,3.0,4,9,40,15.0,223.0,83.0,115.0,1.0,0.0,63.0
7,2023-12-08,203.0,124.0,0.87,234.0,0.609375,3.0,11,16,46,13.0,224.0,83.0,115.0,2.0,0.0,63.0
8,2023-12-09,148.0,102.0,0.62,237.0,0.6171875,3.0,5,15,19,18.0,225.0,83.0,115.0,1.0,0.0,58.0
9,2023-12-10,121.0,82.0,0.51,237.0,0.6171875,3.0,10,7,17,23.0,220.0,83.0,115.0,1.0,0.0,58.0
10,2023-12-11,188.0,113.0,0.78,242.0,0.6302083333333334,2.0,3,8,35,20.0,227.0,83.0,115.0,1.0,0.0,54.0
11,2023-12-12,201.0,120.0,0.83,242.0,0.6302083333333334,0.0,11,7,49,14.0,232.0,83.0,115.0,1.0,0.0,55.0
12,2023-12-13,203.0,110.0,0.83,245.0,0.6380208333333334,6.0,8,10,35,21.0,229.0,83.0,115.0,1.0,0.0,51.0
13,2023-12-14,223.0,134.0,0.91,245.0,0.6380208333333334,0.0,6,8,40,24.0,227.0,83.0,115.0,0.0,0.0,51.0
14,2023-12-15,230.0,143.0,0.95,243.0,0.6311688311688312,6.0,10,14,47,21.0,229.0,83.0,115.0,2.0,0.0,51.0
15,2023-12-16,175.0,120.0,0.72,243.0,0.6311688311688312,5.0,7,13,33,24.0,227.0,83.0,115.0,0.0,0.0,52.0
16,2023-12-17,135.0,97.0,0.56,239.0,0.6207792207792208,5.0,6,11,32,25.0,221.0,83.0,115.0,0.0,0.0,57.0
17,2023-12-18,150.0,102.0,0.62,241.0,0.625974025974026,3.0,10,8,35,23.0,226.0,86.0,115.0,0.0,0.0,51.0
18,2023-12-19,130.0,75.0,0.55,237.0,0.6139896373056994,4.0,4,4,28,16.0,228.0,85.0,114.0,0.0,0.0,58.0
19,2023-12-20,92.0,54.0,0.39,237.0,0.6139896373056994,1.0,3,5,12,18.0,227.0,85.0,114.0,0.0,0.0,57.0
20,2023-12-21,68.0,40.0,0.28,246.0,0.6373056994818653,3.0,0,2,10,16.0,237.0,85.0,114.0,0.0,0.0,49.0
21,2023-12-22,73.0,47.0,0.29,250.0,0.6476683937823834,2.0,2,5,11,15.0,239.0,85.0,114.0,0.0,0.0,48.0
22,2023-12-23,38.0,27.0,0.15,251.0,0.6502590673575129,2.0,3,2,4,22.0,233.0,85.0,114.0,0.0,0.0,47.0
23,2023-12-24,28.0,18.0,0.11,248.0,0.6424870466321243,0.0,0,1,3,15.0,239.0,85.0,114.0,0.0,0.0,48.0
24,2023-12-25,46.0,17.0,0.19,245.0,0.6347150259067358,2.0,3,1,0,20.0,232.0,85.0,114.0,2.0,0.0,48.0
25,2023-12-26,75.0,27.0,0.3,246.0,0.6373056994818653,1.0,1,3,7,15.0,235.0,85.0,114.0,2.0,0.0,50.0
26,2023-12-27,68.0,40.0,0.28,246.0,0.6373056994818653,1.0,4,2,5,15.0,236.0,85.0,114.0,2.0,0.0,49.0
27,2023-12-28,102.0,63.0,0.42,244.0,0.6321243523316062,4.0,5,2,24,18.0,233.0,85.0,114.0,1.0,0.0,50.0
28,2023-12-29,116.0,60.0,0.5,233.0,0.6036269430051814,1.0,3,5,18,19.0,222.0,85.0,114.0,0.0,0.0,61.0
29,2023-12-30,116.0,68.0,0.49,236.0,0.6113989637305699,4.0,8,12,10,24.0,221.0,85.0,114.0,0.0,0.0,57.0
30,2023-12-31,125.0,82.0,0.54,231.0,0.5984455958549223,5.0,7,8,23,16.0,220.0,85.0,114.0,0.0,0.0,66.0
